"","begintime_msec","endtime_msec","duration_msec","context","sampling_type","on_off","code","code_num","vcm","xds","lex","mwu","is_silent","PI","inq","utt","Description","File","File Path","speaker","utterance","VIHI_ID","group"
"50","11881256",11881410,154,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"51","11882340",11883092,752,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"52","11923214",11924543,1329,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"53","11925307",11925587,280,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"54","11939449",11940347,898,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"55","14737358",14738120,762,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"56","14739952",14740474,522,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"57","14755666",14756573,907,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"58","14756720",14757548,828,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"59","14761008",14761524,516,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"60","14761683",14762088,405,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"61","14765119",14765861,742,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"62","14767361",14768012,651,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"63","14774115",14774462,347,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"64","14776996",14777638,642,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"65","14810562",14811608,1046,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"66","15845648",15847097,1449,NA,NA,NA,NA,NA,"C","","W","M",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"67","15880898",15881407,509,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"68","15885616",15886149,533,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"69","15891229",15892223,994,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"70","15893585",15893990,405,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"71","15895876",15896383,507,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"72","15896922",15897536,614,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"73","15907946",15908715,769,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"74","15909750",15910415,665,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"75","15915027",15915376,349,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"76","15916947",15917659,712,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"77","15919012",15920284,1272,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"78","15921904",15922376,472,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"79","15923561",15924339,778,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"80","16333327",16334082,755,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"81","16335786",16336208,422,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"82","16338444",16339076,632,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"83","16340475",16340941,466,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"84","16342591",16343113,522,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"85","16346192",16346714,522,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"86","16370364",16370781,417,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"87","16373027",16373554,527,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"88","16375113",16375548,435,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"89","16376442",16376984,542,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"90","16377837",16378304,467,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"91","16379346",16379965,619,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
